Designator,Mid X,Mid Y,Layer,Rotation
BATTERY,-17.83,30.33,Top,0.0
C1,-38.25,77.60,Top,270.0
C2,-36.17,77.62,Top,270.0
C3,26.64,27.81,Top,270.0
C4,-8.28,23.77,Top,90.0
C5,-10.85,26.97,Top,0.0
C6,-34.65,75.79,Top,270.0
C7,-21.32,14.70,Top,0.0
C8,25.60,27.81,Top,270.0
C9,21.51,27.81,Top,270.0
C10,20.47,27.81,Top,270.0
C11,19.43,27.81,Top,270.0
C12,18.39,27.81,Top,270.0
C13,17.35,27.81,Top,270.0
C14,16.31,27.81,Top,270.0
C15,15.27,27.81,Top,270.0
C16,14.22,27.81,Top,270.0
C17,-27.56,30.78,Top,0.0
C18,-3.94,27.76,Top,270.0
C19, 4.93,29.95,Top,270.0
C20,33.55,35.13,Top,180.0
C21,36.93,28.52,Top,0.0
C23,-10.85,29.01,Top,0.0
C24,-37.24,55.09,Top,270.0
C25,-38.63,62.31,Top,0.0
C26,36.17, 9.42,Top,180.0
C27,36.53,11.07,Top,180.0
C28,34.39,12.83,Top,180.0
C29,-14.17,18.49,Top,270.0
C30,-23.57,31.95,Top,180.0
CHRG,-21.17, 6.99,Top,270.0
D1,-24.87,17.78,Top,180.0
D2,-24.87,16.08,Top,180.0
D3,-12.24,12.75,Top,270.0
D4,32.61,31.57,Top,90.0
D5,30.78,31.57,Top,270.0
D6,34.47,31.57,Top,90.0
D7, 3.38,29.34,Top,270.0
ESP32,-24.16,74.73,Top,270.0
F1,-8.59,20.32,Top,90.0
F2,-11.25,19.23,Top,180.0
IC1,-0.66,31.45,Top,180.0
IC2,-38.79,59.13,Top,90.0
IC3,38.28,14.07,Top,0.0
IC4,-35.36,20.17,Top,90.0
IC5,-6.30,31.45,Top,90.0
IC7,-39.83,53.85,Top,180.0
J1,19.50,83.00,Top,180.0
J2,-42.11,70.87,Top,90.0
J3,-40.56,63.65,Top,90.0
J4,-39.09,14.55,Top,270.0
J5,-13.56,54.84,Top,180.0
L1,37.87,31.93,Top,180.0
L2,-0.64,28.12,Top,180.0
L3, 0.05,36.70,Top,0.0
LDO,-10.85,23.77,Top,90.0
Q1,-27.18,25.45,Top,90.0
Q4,37.87,36.73,Top,180.0
Q5,-16.66,12.90,Top,90.0
Q7,-11.15,16.08,Top,270.0
Q8,20.90,36.27,Top,0.0
R1,-27.18,27.38,Top,0.0
R2,-34.65,77.98,Top,270.0
R3,-27.18,23.44,Top,180.0
R5,-22.64, 9.04,Top,90.0
R8,29.69,24.74,Top,180.0
R9,27.94,31.12,Top,0.0
R10,-20.03, 9.04,Top,270.0
R11,-14.35,10.26,Top,0.0
R12,-16.43,10.26,Top,180.0
R15,-37.19,15.80,Top,180.0
R16,-37.19,12.83,Top,180.0
R17,18.34,35.66,Top,270.0
R20,-17.12,38.13,Top,90.0
R21,-18.16,38.13,Top,90.0
R22,-38.23,21.13,Top,0.0
R23,-43.89,38.05,Top,180.0
R24, 2.87,32.38,Top,180.0
R25, 2.87,33.43,Top,0.0
RESET,-45.21,56.21,Top,90.0
SD_CARD,-30.78,27.48,Top,270.0
SW1,-43.97,43.82,Top,270.0
U1,-21.33,11.96,Top,180.0
U2,-23.60,34.37,Top,90.0
DISPLAY,22.00,23.00,Top,0.0
LED,12.30,37.38,Top,0.0
TOUCH,-35.28,51.38,Top,0.0
