Designator,Mid X,Mid Y,Layer,Rotation
BATTERY, 2.79,30.99,Top,180.0
C1,-36.70,21.08,Top,270.0
C2,-34.67,21.08,Top,270.0
C3,24.64,25.02,Top,270.0
C4,-24.77,18.41,Top,90.0
C5,-30.61,19.18,Top,270.0
C6,-44.32, 2.41,Top,270.0
C7,-20.64,15.88,Top,0.0
C8,23.62,25.02,Top,270.0
C9,21.84,25.02,Top,270.0
C10,20.83,25.02,Top,270.0
C11,19.81,25.02,Top,270.0
C12,18.80,25.02,Top,270.0
C13,17.78,25.02,Top,270.0
C14,16.76,25.02,Top,270.0
C15,15.75,25.02,Top,270.0
C16,14.73,25.02,Top,270.0
C17,24.00,34.42,Top,270.0
C18,-11.05,29.08,Top,90.0
C19,41.27, 4.49,Top,180.0
C20,34.66,24.27,Top,180.0
C21,38.10,17.65,Top,0.0
C22,26.04,37.21,Top,0.0
C23,19.56,38.61,Top,270.0
C24,21.46,29.03,Top,0.0
C25,18.68,32.85,Top,270.0
C26,-12.89, 3.37,Top,180.0
C27,-9.87, 3.33,Top,0.0
C28,-13.51, 5.89,Top,180.0
C29,-40.26,71.27,Top,270.0
C30,-40.26,65.00,Top,270.0
C31,-40.26,58.88,Top,270.0
CHRG,-17.14, 1.27,Top,270.0
D1,19.56,41.15,Top,90.0
D3,-13.30,13.50,Top,270.0
D4,33.71,20.78,Top,90.0
D5,31.80,20.78,Top,270.0
D6,35.61,20.78,Top,90.0
D7,-15.37, 5.46,Top,270.0
D8,-15.37, 7.49,Top,90.0
D9,-29.87, 8.41,Top,0.0
DOWN,-45.09,56.20,Top,90.0
IC1,-33.02,33.02,Top,90.0
IC2,21.59,32.45,Top,0.0
IC3,-9.55, 7.14,Top,270.0
IC4,25.88,29.41,Top,0.0
IC5,22.99,38.10,Top,180.0
J2,33.66, 5.71,Top,0.0
J3,44.70,20.32,Top,270.0
J4,-23.50, 3.75,Top,0.0
J5,44.70,10.79,Top,90.0
JP1,45.72,62.23,Top,90.0
L1,39.10,21.09,Top,180.0
L2,22.99,41.27,Top,0.0
LDO,-27.62,18.67,Top,0.0
PUSH,-45.09,64.77,Top,90.0
Q1,-9.53,12.70,Top,90.0
Q2,-26.04, 9.14,Top,90.0
Q3,-25.91,12.07,Top,270.0
Q4,28.82,25.10,Top,270.0
Q5,-16.19,14.29,Top,0.0
Q7,-11.43,17.46,Top,270.0
Q8,10.41,40.64,Top,90.0
R1,-7.30,12.70,Top,90.0
R2,-44.32, 4.70,Top,270.0
R3,-11.43,12.70,Top,270.0
R4,-24.13,11.56,Top,270.0
R5,-23.11,11.56,Top,270.0
R6,24.00,31.75,Top,90.0
R7,-26.06,13.97,Top,180.0
R8,26.67,25.02,Top,270.0
R9,25.65,25.02,Top,270.0
R10,-17.14, 8.38,Top,270.0
R11,-14.92,11.43,Top,180.0
R12,-17.14,11.43,Top,180.0
R13,-36.20,54.61,Top,90.0
R14,-34.16,54.61,Top,90.0
R15,-29.85, 5.71,Top,270.0
R16,-29.85, 3.18,Top,90.0
R17,18.54,38.61,Top,270.0
R18,-40.26,73.34,Top,270.0
R19,-40.26,60.96,Top,270.0
R20,-40.26,67.06,Top,270.0
R21,17.53,37.59,Top,90.0
R22,33.93,26.16,Top,180.0
R23,-14.92,16.99,Top,0.0
R24,-10.03,28.96,Top,90.0
R25,-12.07,28.96,Top,270.0
R26,14.22,41.66,Top,180.0
RESET,-41.02, 0.25,Top,180.0
SD_CARD,30.48,36.37,Top,90.0
SHT40,41.27, 2.56,Top,90.0
SW1,-43.94,13.46,Top,270.0
U1,-20.64,12.70,Top,90.0
UP,-45.09,73.66,Top,90.0
DISPLAY,22.00,23.00,Top,180.0
LED,12.30,37.38,Top,180.0
TOUCH,-35.28,51.38,Top,180.0
