Comment,Designator,Footprint,LCSC Part #
JST-PH-2_SMD/90SMD,BATTERY,S2B-PH-SM4,C47647
100nF,C1,C0603,
1uF/25V,C9 C10 C11 C16,C0402,
4.7uF/25V,C3 C8 C12 C13 C14 C15,C0402,
47uF,C2 C32,C0603,C178330
4.7uF/25V,C20,C0603,
10uF/25V,C21,C0603,
10uF/16V,C4 C24 C25,C0603,
10uF/16V,C5,C0603,C108344
100nF,C6 C17 C18 C19,C0402,
10uF,C7,C0603,
RED,CHRG,CHIP-LED0603,C2286
MBR0530,D4 D5 D6,SOD123-F,
47uH/1A,L1,SMNR4020,
RT9080-33GJ5,IC2 LDO,SOT94P280X100-5N,
MMDT3904,Q1,SC70-6,C268586
5.8A/30V/35mΩ,Q4,SOT23-3,C20917
10k,R1 R2 R3 R6 R11 R18 R19 R20 R22 R26,R0402,
3.3k,R10,R0402,
1M,R8 R24,R0402,
2.2R,R9,R0402,
TP4054,U1,SOT-23-5,C32574
USB-C_GT-USB-7010B,J4,G-SWITCH_GT-USB-7010B,C2837092
5.1k,R15 R16,R0402,
JST-SH-4_RA,J2,1X04_1MM_RA,
1k,R5,R0402,
MICRO_SD,SD_CARD,MICRO_SD,C91145
SMF05C,IC4,SOT65P210X110-6N,C558425
AO3401,Q5 Q7,SOT23,
100k,R12 R23 R27,R0402,
BAT60B,D3,SOD323-R,
JST-SH-4_VERT,J3,1X04_1MM_RA,
22uF,C26,C0603,
100n,C27 C28,C0402,
CH9102F,IC3,QFN24-4X4,
SSSS811101,SW1,SSSS811101,
ESP32-S3-WROOM-1-N16R8,IC1,ESP32S3WROOM1N16R8,
USUP_SPI_CONNECTOR,J5,1X06_1MM_RA,
4.7k,R13 R14,R0603,
SHT40,SHT40,SHT40,
1TS003B-1600-3500A,DOWN PUSH RESET UP,1TS003B16003500A,
1x15,JP1,1X15-F-SMD,C5142248
LESD5D5.0CT1G,D7 D8 D9,LESD5D50CT1G,
1uF,C29 C30 C31,C0402,
MMDT5401,Q3,SC70-6,C54540
DMG2305UX,Q2,MICRO3,C144153
47k,R4 R7,R0402,
1.3M,R25,R0402,
AP3012,IC5,SOT95P280X135-5N,C460356
22uF,C22,C0402,
22uF/25V,C23,C0603,
10uH,L2,L1210,C86069
1N5819WS,D1,SOD323-R,
91k,R17,R0402,
5.76k,R21,R0402,
AO3400,Q8,SOT23,
AFC24-S24FIA-00,DISPLAY,AFC24-S24FIA-00,C262683
AFC07-S06ECA-00,LED TOUCH,AFC07-S06ECA-00,C262579
